Checkpoint,Status,Submitted date,Mentor comment,Approved?,Next unlocked?
CP00 - Orientation,Not started,,,,
CP01 - System Selection,Not started,,,,
CP02 - Local Computer Files,Not started,,,,
CP03 - Localhost Networking,Not started,,,,
CP04 - Git Version Control,Not started,,,,
CP05 - Signal Simulator Validation,Not started,,,,
CP06 - API HTTP JSON Backend,Not started,,,,
CP07 - Database Persistence,Not started,,,,
CP08 - Dashboard HMI,Not started,,,,
CP09 - Cloud Deployment Logs Env,Not started,,,,
CP10 - Final Demo Hardware Extension,Not started,,,,
